"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2023","276,730","277,046","277,597","275,934","","-0.04%"
"08/21/2023","276,835","274,602","277,349","274,070","","0.82%"
"08/18/2023","274,573","275,355","275,908","273,693","","-0.24%"
"08/17/2023","275,242","276,861","277,791","275,007","","-0.53%"
"08/16/2023","276,716","276,891","277,923","276,661","","-0.03%"
"08/15/2023","276,802","277,636","277,882","276,379","","-0.26%"
"08/14/2023","277,527","277,454","278,048","276,620","","0.06%"
"08/11/2023","277,355","276,792","277,967","276,620","","0.22%"
"08/10/2023","276,737","275,151","277,679","275,070","","0.61%"
"08/09/2023","275,062","276,049","276,700","274,953","","-0.34%"
"08/08/2023","276,005","275,940","277,408","275,149","","0.08%"
"08/07/2023","275,781","275,490","276,123","274,554","","0.16%"
"08/04/2023","275,348","275,750","276,682","274,679","","-0.06%"
"08/03/2023","275,504","277,232","278,466","275,191","","-0.60%"
"08/02/2023","277,180","278,741","279,342","276,996","","-0.51%"
"08/01/2023","278,594","279,620","280,183","278,208","","-0.33%"
"07/31/2023","279,522","276,286","280,864","275,395","","1.08%"
"07/28/2023","276,541","271,380","276,694","269,929","","1.99%"
"07/27/2023","271,154","276,551","277,461","269,937","","-1.92%"
"07/26/2023","276,455","276,851","277,498","275,829","","-0.10%"
"07/25/2023","276,725","276,530","277,957","276,373","","0.16%"
"07/24/2023","276,294","277,912","278,300","276,321","","-0.64%"
"07/21/2023","278,062","275,958","278,792","275,620","","0.79%"
"07/20/2023","275,887","276,109","276,832","275,738","","-0.04%"
"07/19/2023","276,008","274,682","276,797","274,579","","0.52%"
"07/18/2023","274,576","271,211","275,306","270,942","","1.21%"
"07/17/2023","271,288","271,311","271,940","270,243","","0.03%"
"07/14/2023","271,207","270,580","272,189","269,257","","0.24%"
"07/13/2023","270,558","271,057","271,939","270,033","","-0.16%"
"07/12/2023","270,995","271,219","272,065","269,630","","-0.06%"
"07/11/2023","271,156","272,059","272,786","271,000","","-0.32%"
"07/10/2023","272,015","273,801","275,053","271,995","","-0.55%"
"07/07/2023","273,531","275,335","276,479","273,401","","-0.62%"
"07/06/2023","275,240","277,036","277,377","274,586","","-0.62%"
"07/05/2023","276,952","278,172","279,242","276,994","","-0.41%"
"07/04/2023","278,079","278,081","278,964","277,421","","0.05%"
"07/03/2023","277,939","277,166","279,015","276,514","","0.33%"
"06/30/2023","277,035","276,252","277,539","275,026","","0.31%"
"06/29/2023","276,176","275,559","276,765","274,104","","0.25%"
"06/28/2023","275,494","275,672","276,175","274,586","","-0.04%"
"06/27/2023","275,606","276,030","277,020","275,007","","-0.05%"
"06/26/2023","275,734","275,877","277,068","275,669","","-0.07%"
"06/23/2023","275,922","273,972","277,398","273,012","","0.84%"
"06/22/2023","273,625","274,202","274,364","273,030","","-0.20%"
"06/21/2023","274,167","273,952","275,269","273,156","","0.12%"
"06/20/2023","273,826","276,930","277,491","273,185","","-1.10%"
"06/19/2023","276,878","277,633","277,983","276,257","","-0.24%"
"06/16/2023","277,540","274,687","277,932","274,055","","1.06%"
"06/15/2023","274,622","272,115","275,106","271,554","","0.94%"
"06/14/2023","272,070","272,550","273,786","271,548","","-0.13%"
"06/13/2023","272,435","273,331","274,752","271,928","","-0.29%"
"06/12/2023","273,241","273,372","274,071","272,248","","0.02%"
"06/09/2023","273,189","273,424","274,438","272,793","","-0.06%"
"06/08/2023","273,342","271,840","273,949","271,677","","0.59%"
"06/07/2023","271,742","274,173","274,374","271,840","","-0.86%"
"06/06/2023","274,092","273,781","274,722","272,240","","0.14%"
"06/05/2023","273,699","272,704","274,173","271,668","","0.42%"
"06/02/2023","272,546","274,493","276,021","272,581","","-0.69%"
"06/01/2023","274,431","273,378","275,145","273,251","","0.41%"
"05/31/2023","273,316","273,935","275,873","273,089","","-0.20%"
"05/30/2023","273,853","272,908","274,557","271,528","","0.37%"
"05/29/2023","272,852","273,858","274,004","272,624","","-0.30%"
"05/26/2023","273,684","271,912","273,925","271,164","","0.69%"
"05/25/2023","271,797","272,954","274,046","270,914","","-0.40%"
"05/24/2023","272,883","273,753","275,103","272,605","","-0.28%"
"05/23/2023","273,639","273,308","273,851","270,574","","0.15%"
"05/22/2023","273,216","272,987","273,882","271,912","","0.16%"
"05/19/2023","272,781","271,476","273,372","270,759","","0.50%"
"05/18/2023","271,437","272,848","273,011","270,497","","-0.49%"
"05/17/2023","272,778","271,288","273,094","271,059","","0.58%"
"05/16/2023","271,206","274,475","275,062","270,908","","-1.16%"
"05/15/2023","274,379","272,757","275,122","272,491","","0.56%"
"05/12/2023","272,853","271,321","273,611","269,674","","0.65%"
"05/11/2023","271,091","272,772","273,765","270,080","","-0.59%"
"05/10/2023","272,708","275,130","275,719","271,915","","-0.85%"
"05/09/2023","275,059","273,286","275,401","272,700","","0.67%"
"05/08/2023","273,225","271,904","273,762","271,675","","0.42%"
"05/05/2023","272,079","275,391","275,491","269,590","","-1.17%"
"05/04/2023","275,292","274,373","278,983","273,379","","0.35%"
"05/03/2023","274,324","275,285","275,541","271,983","","-0.33%"
"05/02/2023","275,225","272,676","275,603","272,121","","0.95%"
"05/01/2023","272,637","271,231","274,280","270,398","","0.56%"
"04/28/2023","271,115","266,254","271,632","265,381","","1.83%"
"04/27/2023","266,235","266,093","268,029","264,825","","0.08%"
"04/26/2023","266,033","266,982","267,756","265,275","","-0.29%"
"04/25/2023","266,810","267,089","268,741","265,241","","-0.09%"
"04/24/2023","267,048","265,944","267,555","265,358","","0.39%"
"04/21/2023","266,006","268,842","269,238","264,910","","-1.03%"
"04/20/2023","268,781","268,645","270,363","268,089","","0.07%"
"04/19/2023","268,594","269,079","269,575","265,280","","-0.11%"
"04/18/2023","268,899","267,978","269,651","267,398","","0.35%"
"04/17/2023","267,957","268,235","269,890","266,538","","-0.03%"
"04/14/2023","268,034","270,452","271,145","266,236","","-0.89%"
"04/13/2023","270,433","268,339","271,228","268,001","","0.83%"
"04/12/2023","268,206","268,055","270,375","266,681","","0.06%"
"04/11/2023","268,055","266,302","268,339","265,657","","0.68%"
"04/10/2023","266,251","265,356","266,358","263,667","","0.35%"
"04/07/2023","265,319","264,596","266,001","264,221","","0.29%"
"04/06/2023","264,552","265,537","265,679","263,396","","-0.36%"
"04/05/2023","265,500","266,105","266,862","263,638","","-0.20%"
"04/04/2023","266,025","262,892","266,958","262,360","","1.26%"
"04/03/2023","262,713","261,868","263,597","260,122","","0.49%"
"03/31/2023","261,422","262,723","264,412","261,299","","-0.48%"
"03/30/2023","262,680","260,870","262,908","259,616","","0.70%"
"03/29/2023","260,865","258,295","261,271","258,094","","1.02%"
"03/28/2023","258,238","257,685","258,516","255,493","","0.26%"
"03/27/2023","257,580","258,154","258,796","255,665","","-0.35%"
"03/24/2023","258,497","260,762","260,946","257,628","","-0.80%"
"03/23/2023","260,588","259,064","261,863","257,303","","0.70%"
"03/22/2023","258,769","257,088","259,671","256,335","","0.68%"
"03/21/2023","257,031","259,626","260,642","256,541","","-0.99%"
"03/20/2023","259,593","263,537","263,646","258,882","","-0.91%"
"03/17/2023","261,982","256,808","262,433","255,877","","2.05%"
"03/16/2023","256,714","255,843","256,896","253,644","","0.39%"
